Index,Title,Year,Genre,Director,Writer,Actors,Language,Country,Awards,IMDB rating
70,Viswasam,2019,"Action, Drama",Siva,"Siva (story and screenplay), Adi Naarayana (story and screenplay), Manikandan (dialogue), Bakyaraj (dialogue), Sabari (dialogue), Chandran (dialogue)","Ajith Kumar, Nayanthara, Sakshi Agarwal, Darbha Appaji Ambarisha","Tamil, Kannada",India,N/A,6.7
71,Charlie Chaplin 2,2019,Comedy,Sakthi Chidambaram,Sakthi Chidambaram,"Prabhu Deva, Prabhu, Nikki Galrani, Adah Sharma",Tamil,India,N/A,3.7
72,Kuthoosi,2019,N/A,Siva Sakthi,N/A,"Amala, Yogi Babu, Dileepan",Tamil,India,N/A,N/A
73,Pei Ellam Paavam,2019,N/A,Deepak Narayan,N/A,"Arasu Nadarajan, Dona Sanker, Appu Kutty",Tamil,India,N/A,N/A
74,Peranbu,2018,Drama,"Ram, Amudhavan Karuppiah(co-director), Anjana Krishnakumar(co-director)","Anjana Krishnakumar (dialogue writer), Ram","Mammootty, Sadhana, Anjali, Anjali Ameer",Tamil,India,3 wins.,9.1
75,Sagaa,2019,"Crime, Drama",Murugesh,Murugesh,"Kishore, Pandi, Prithivirajan, Saran",Tamil,India,N/A,6.9
76,Sarvam Thaala Mayam,2018,"Drama, Music",Rajiv Menon,Rajiv Menon,"G.V. Prakash Kumar, Aparna Balamurali, Nedumudi Venu, Vineeth",Tamil,India,N/A,8.8
77,Vantha Rajavathaan Varuven,2019,"Action, Comedy, Drama",Sundar C.,"Sundar C. (screenplay), Trivikram Srinivas (story)","T.R. Silambarasan, Megha Akash, Catherine Tresa, Prabhu",Tamil,India,N/A,3.9
78,Dhilluku Dhuddu 2,2019,"Comedy, Horror",Rambala,Rambala,"Santhanam, Shritha Sivadas, Rajendran, Bipin",Tamil,India,N/A,5.4
79,Podhu Nalan Karudhi,2018,"Action, Comedy, Drama",Zion,N/A,"Adith Arun, Karunakaran, Santhosh Prathap",Tamil,India,N/A,4.5
80,Avathara Vettai,2019,Drama,Star Kunjumon,N/A,Radha Ravi,Tamil,India,N/A,N/A
81,Nethraa,2019,"Drama, Thriller",A. Venkatesh,N/A,"Imman Annachi, Vinay Rai, Robo Shankar, Subiksha",Tamil,India,N/A,N/A
82,Vaandu,2019,Drama,Vashan Shaji,N/A,Sai Deena,Tamil,India,N/A,N/A
83,Kalavu,2019,Thriller,Murali Karthick,Murali Karthick,"Vatsan Chakravarthy, Chinnijayanth, Kalaiyarasan, Karunakaran",Tamil,India,N/A,7.4
84,Chithiram Pesuthadi 2,2019,N/A,Rajan Madhav,N/A,"Nivas Adithan, Ajmal Ameer, Radhika Apte, Priya Banerjee",Tamil,India,N/A,N/A
85,Goko Mako,2019,"Adventure, Comedy, Drama, Music, Musical, Romance","Arunkanth, Arunkanth Venugopal","Arunkanth, Arunkanth Venugopal (story), Arunkanth Venugopal","Arunkanth, Santhana Bharathi, Chaams, Dhanusha Dhanraj",Tamil,India,N/A,5.2
