Index,Title,Year,Genre,Director,Writer,Actors,Language,Country,Awards,IMDB rating
15,Kazhugu 2,2019,"Comedy, Crime",Sathyasiva,Sathyasiva,"Kreshna, Bindhu Madhavi, Kaali Venkat, Crane Manohar",Tamil,India,N/A,5.6
16,Thorati,2019,Romance,P. Marimuthu,N/A,"C.V. Kumar, Sathyakala",Tamil,India,N/A,N/A
17,Nerkonda Paarvai,2019,"Action, Drama, Thriller",H. Vinoth,H. Vinoth,"Ajith Kumar, Vidya Balan, Rangaraj Pandey, Shraddha Srinath",Tamil,India,N/A,8.5
18,Kolaiyuthir Kaalam,2019,"Drama, Thriller",Chakri Toleti,"Sara Bodinar (additional screenplay), Adam Hiebeler, Carl Lauricella, Chakri Toleti (story)","Nayanthara, Lee Nicholas Harris, Lee Byford, Richard Banks",Tamil,India,N/A,N/A
19,Reel,2019,Drama,Munuswamy,N/A,"Avantika, Captain Garudu, Uday Raj, Kpy Sarath",Tamil,India,N/A,N/A
20,Comali,2019,Comedy,Pradeep Ranganathan,Pradeep Ranganathan,"Jayam Ravi, Kajal Aggarwal, Yogi Babu, K.S. Ravikumar",Tamil,India,N/A,7.2
21,Kennedy Club,2019,"Drama, Sport",Suseenthiran,Suseenthiran,"M. Sasikumar, Bharathiraja, Meenakshi Govindarajan, Soori",Tamil,India,N/A,7.3
22,Bakrid,2019,Drama,Jagadeesan Subu,Jagadeesan Subu,"Vikranth, Vasundhara Kashyap, Rohit Pathak, Sarah",Tamil,India,N/A,7.6
23,Mei,2019,Action,Bhaskar,N/A,"Charle, Ajay Ghosh, Iswaria Rajesh",Tamil,India,N/A,7
24,Saaho,2019,"Action, Thriller",Sujeeth,"Sujeeth (screenplay), Sujeeth (telugu dialogue), K.G.R Ashok (tamil dialogue), Abbas Dalal (hindi dialogue), Hussain Dalal (hindi dialogue)","Prabhas, Shraddha Kapoor, Jackie Shroff, Neil Nitin Mukesh","Telugu, Tamil, Hindi, Malayalam, English, Japanese, Spanish, French, Punjabi",India,N/A,5.3
25,Sixer,2019,Comedy,Chachi,Chachi,"Vaibhav Reddy, Palak Lalwani, Sathish, Radha Ravi",Tamil,India,N/A,6.4
26,Magamuni,2019,"Crime, Drama, Thriller","Santha Kumar, Santha Kumar","Santha Kumar, Santha Kumar","Arya, Mahima Nambiar, Indhuja Ravichandran, Ilavarasu",Tamil,India,N/A,8
27,Sivappu Manjal Pachai,2019,"Action, Thriller",Sasi,Sasi,"Siddharth, G.V. Prakash Kumar, Lijo Mol Jose, Kashmira Pardesi",Tamil,India,N/A,7.1
28,Zombie,2019,"Comedy, Horror",Bhuvan Nullan R.,Bhuvan Nullan R.,"Yaashika Aanand, Yogi Babu, Manobala, Bijili Ramesh",Tamil,India,N/A,3.6
29,Kaappaan,2019,"Action, Thriller",K.V. Anand,"K.V. Anand, Pattukottai Prabhakar, Kabilan Vairamuthu","Suriya, Mohanlal, Manoj Anand, Chris Wilson",Tamil,India,N/A,6.5
30,Oththa Seruppu Size 7,2019,Drama,Parthiban,Parthiban,Parthiban,Tamil,India,N/A,9.4
31,Super Duper,2019,"Comedy, Thriller",A.K.,N/A,"Dhruva, Sha Ra, Indhuja Ravichandran","Tamil, Telugu",India,N/A,6.4
32,Namma Veettu Pillai,2019,"Action, Comedy, Drama",Pandiraj,"Pandiraj (Dialogue), Pandiraj (Screenplay), Pandiraj (Story)","Sivakarthikeyan, Bharathiraja, Soori, Aishwarya Rajesh",Tamil,India,N/A,6.1
33,Thittam Poattu Thirudura Kootam,2019,"Action, Comedy, Crime",Sudhar,Sudhar,"Chaams, Chandran, Parthiban, Daniel Annie Pope",Tamil,India,N/A,N/A
34,100% Kadhal,2019,"Comedy, Drama, Romance",M.M. Chandramouli,Sukumar (story),"G.V. Prakash Kumar, Shalini Pandey, Nassar, Thambi Ramaiah",Tamil,India,N/A,4.9
