Visiri
Yemaali
Padaiveeran
Oru Nalla Naal Paathu Solren
Madura Veeran
Sollividava
Kalakalappu 2
"Nari Vettai
"
Savarakathi
Manushanaa Nee
"Melnaattu Marumagan
"
Naachiyaar
Nagesh Thiraiyarangam
"Veera
"
"Koottali
"
"6 Athiyayam
"
Keni
"Merlin
"
"Kaathadi
"
Tamizhananean Ka
Yenda Thalaiyila Yenna Vekkala
"13 December
"
"Paarka Thonuthe
"
"Onaaigal Jakkiradhai
"
"Saavi
"
Vidhi Madhi Ultaa
"Gulaebaghavali
"
"Sketch
"
"Thaanaa Serndha Koottam
"
"Samuga Valaithalam
"
"Veera Thevan
"
Mannar Vagaiyara
"Bhaagamathie
"
Nimir
Saranalayam
Dharavi
"Mercury
"
"Munthal
"
"Diya
"
Paadam
"Pakka
"
"Sila Samayangalil
"
Iruttu Araiyil Murattu Kuththu
"Kaathiruppor Pattiyal
"
"Alai Pesi
"
Iravukku Aayiram Kangal
Aaru Mudhal Aaru 
"Irumbu Thirai
"
"Nadigaiyar Thilagam
"
Bhaskar Oru Rascal
"18 May 2009
"
"Kadhalargal Valibar Sangam
"
Kaali
"Paalkaari
"
"Seyal
"
"Abhiyum Anuvum
"
Oru Kuppai Kathai
Kaala Koothu
Pei Irukka Illaya
Puthiya Bruce Lee
"Semma
"
"Antony
"
"Mohana
"
"Panjumittai
"
Vayakattu Mappillai
"X Videos
"
Kaala
"Goli Soda 2
"
"Ennodu Nee Irundhaal
"
"Kannakkol
"
"Kilambitaangayaa Kilambitaangayaa
"
"Andhra Mess
"
Enna Thavam Seitheno
"Kargil
"
"Tik Tik Tik
"
"Traffic Ramasamy
"
"Asuravadham
"
"Ethukadi Kaadhalicha
"
Inba Twinkle Lilly
"Semma Botha Aagatha
"
